Row,Company,Contact Name,Phone,City,Status
322,"Longhorn Solar","KELLI PEDERSEN","(512) 837-4800","Pflugerville","not_called"
323,"Sunstra","Sunstra","(469) 215-1335","Plano","not_called"
324,"Solar Connect","Solar Connect","(904) 351-8395","Plano","not_called"
325,"ZUNA SOLAR","ZUNA SOLAR","(817) 786-6120","Plano","not_called"
326,"Freedom Forever","Freedom Forever","(888) 557-6431","Plano","not_called"
327,"Inspire Solar","Inspire Solar","(866) 939-0089","Plano","not_called"
328,"Renewables Hub","Renewables Hub","(469) 833-2716","Plano","not_called"
329,"Enova Electrification","Enova Electrification","(281) 713-4858","Plano","not_called"
330,"My Roof Solar","My Roof Solar","(469) 461-1996","Plano","not_called"
331,"Solar eTribe","Solar eTribe","(972) 400-6422","Plano","not_called"
332,"Longhorn Solar - Plano","Longhorn Solar - Plano","(972) 850-7764","Plano","not_called"
333,"NXT LVL SLR","NXT LVL SLR","(833) 698-5852","Plano","not_called"
334,"Universal Solar System","Universal Solar System","(512) 772-1422","Plano","not_called"
335,"Green Era Solar","Green Era Solar","(210) 934-4414","Pleasanton","not_called"
336,"Impact Renewable Energy","Impact Renewable Energy","(210) 409-4646","Poteet","not_called"
337,"How much solar energy can you collect?","How much solar energy can you collect?","(678) 961-8855","Red Oak","not_called"
338,"Metroplex solar panels","Metroplex solar panels","(214) 662-3746","Richardson","not_called"
339,"Texas Best Solar","Texas Best Solar","(940) 242-1285","Richardson","not_called"
340,"Prime SLR","Prime SLR","(469) 980-0351","Richardson","not_called"
341,"Immediate Solar LLC","Immediate Solar LLC","(469) 349-7955","Richardson","not_called"
342,"Solartime USA","Solartime USA","(972) 675-7725","Richardson","not_called"
343,"RISE Power LLC","RISE Power LLC","(855) 747-3769","Richardson","not_called"
344,"Atlas Solar Power","Atlas Solar Power","(214) 256-3799","Richland Hills","not_called"
345,"The Professional Shutter Company","The Professional Shutter Company","(956) 561-9664","Rio Hondo","not_called"
346,"Arvo Solar Dallas-Fort Worth","Arvo Solar Dallas-Fort Worth","(817) 242-2786","Rockwall","not_called"
347,"Greenstar Power","Greenstar Power","(512) 253-7100","Round Rock","not_called"
348,"Freedom Forever","Freedom Forever","(888) 557-6431","Round Rock","not_called"
349,"Solar Power Systems Round Rock","Solar Power Systems Round Rock","(512) 714-2451","Round Rock","not_called"
350,"GNRG USA North Austin","GNRG USA North Austin","(512) 675-8777","Round Rock","not_called"
351,"Sonepar","Jessica Morris","(512) 246-8001","Round Rock","not_called"
352,"Longhorn Solar","Louis Petrik","(512) 837-4800","Round Rock","not_called"
353,"IES Texas Solar - Dallas","IES Texas Solar - Dallas","(512) 766-4276","Rowlett","not_called"
354,"NOVOS Energy Solar","NOVOS Energy Solar","(800) 990-4598","Rowlett","not_called"
355,"Monument Solar","Monument Solar","(682) 707-5224","Saginaw","not_called"
356,"Texas Solar Screens","Texas Solar Screens","(210) 777-3003","San Antonio","not_called"
357,"Limitless Energy Pros","Limitless Energy Pros","(210) 951-9786","San Antonio","not_called"
358,"ARP Roofing & Remodeling","ARP Roofing & Remodeling","(210) 714-0040","San Antonio","not_called"
359,"ALPHA SOLAR SOLUTIONS, LLC","ALPHA SOLAR SOLUTIONS, LLC","(210) 783-0507","San Antonio","not_called"
360,"Charger Roofing LLC","Charger Roofing LLC","(210) 305-7663","San Antonio","not_called"
361,"Smart Renewables of Texas LLC","Smart Renewables of Texas LLC","(210) 465-1021","San Antonio","not_called"
362,"Alamo Smart Home","Alamo Smart Home","(210) 625-6575","San Antonio","not_called"
363,"Engel Electric","Engel Electric","(210) 897-6527","San Antonio","not_called"
364,"Choose The Right Solar","Choose The Right Solar","(833) 510-2877","San Antonio","not_called"
365,"Ecolectrics LLC","Ecolectrics LLC","(210) 987-2640","San Antonio","not_called"
366,"All Points Roof & Solar","All Points Roof & Solar","(210) 507-2225","San Antonio","not_called"
367,"Green Energy of San Antonio","Green Energy of San Antonio","(210) 310-3371","San Antonio","not_called"
368,"Critter Shield","Critter Shield","(210) 314-1177","San Antonio","not_called"
369,"San Antonio Solar Systems","San Antonio Solar Systems","(726) 256-6202","San Antonio","not_called"
370,"ETW Energy, LLC","ETW Energy, LLC","(210) 201-4453","San Antonio","not_called"
371,"POM Solar Energy","POM Solar Energy","(210) 782-0291","San Antonio","not_called"
372,"Rhino Roofers: San Antonio Roofing Company","Rhino Roofers: San Antonio Roofing Company","(210) 756-2834","San Antonio","not_called"
373,"Go Solar San Antonio","Go Solar San Antonio","(210) 718-5658","San Antonio","not_called"
374,"Go Solar Power","Go Solar Power","(800) 530-9597","San Antonio","not_called"
375,"One80 Solar","One80 Solar","(210) 802-7428","San Antonio","not_called"
376,"LOA Roofing and Construction","LOA Roofing and Construction","(713) 396-3951","San Antonio","not_called"
377,"Solar Electric Texas","Solar Electric Texas","(737) 379-9295","San Antonio","not_called"
378,"EcoGen America","EcoGen America","(888) 294-5764","San Antonio","not_called"
379,"StarPoint Group","StarPoint Group","(888) 831-9690","San Antonio","not_called"
380,"Sunlit Solar San Antonio","Sunlit Solar San Antonio","(833) 435-3745","San Antonio","not_called"
381,"A to Z Solar Maintenance","A to Z Solar Maintenance","(469) 866-5525","San Antonio","not_called"
382,"Solar Energy House TX","Solar Energy House TX","(726) 256-7177","San Antonio","not_called"
383,"DKD Energy","DKD Energy","(800) 844-0569","San Antonio","not_called"
384,"Texas Solar Energy","Texas Solar Energy","(210) 573-3418","San Antonio","not_called"
385,"Profesional Solar Installation","Profesional Solar Installation","(726) 238-7889","San Antonio","not_called"
386,"M&M Roofing, Siding & Windows","M&M Roofing, Siding & Windows","(210) 822-6070","San Antonio","not_called"
387,"APEX Smart Home","APEX Smart Home","(210) 301-0032","San Antonio","not_called"
388,"San Antonio Roof Royale","San Antonio Roof Royale","(512) 400-3113","San Antonio","not_called"
389,"Greenlight energy","Greenlight energy","(210) 790-1261","San Antonio","not_called"
390,"Big Sun Solar","Big Sun Solar","(210) 960-2303","San Antonio","not_called"
391,"SAT Energy","SAT Energy","(210) 688-4301","San Antonio","not_called"
392,"Strategic Solar Installation San Antonio","Strategic Solar Installation San Antonio","(833) 435-4213","San Antonio","not_called"
393,"National Renewable Energy Partners","National Renewable Energy Partners","(855) 858-6737","San Antonio","not_called"
394,"Erus Energy","Erus Energy","(844) 272-8336","San Antonio","not_called"
395,"SolarWind Panel Installation San Antonio LLC","SolarWind Panel Installation San Antonio LLC","(726) 762-3214","San Antonio","not_called"
396,"Lighthouse Solar","Lighthouse Solar","(512) 710-7538","San Antonio","not_called"
397,"Erco Energy","Erco Energy","(210) 639-3818","San Antonio","not_called"
398,"Ecopro Solar Supply","Ecopro Solar Supply","(210) 251-4059","San Antonio","not_called"
399,"Fonroche Lighting America","Fonroche Lighting America","(339) 225-4530","San Antonio","not_called"
400,"Solar Sunny-Side UP","Solar Sunny-Side UP","(855) 887-8669","San Antonio","not_called"
401,"Earth Smart Solar TX","Earth Smart Solar TX","(210) 421-5526","San Antonio","not_called"
402,"Sun Action Trackers LLC","Sun Action Trackers LLC","(210) 503-6101","San Antonio","not_called"
403,"Mission Solar Energy LLC","Mission Solar Energy LLC","(210) 531-8600","San Antonio","not_called"
404,"Pure Energy","Pure Energy","(833) 937-7873","San Antonio","not_called"
405,"Delta Solar Power","Delta Solar Power","(210) 687-7675","San Antonio","not_called"
406,"Atma Energy","Atma Energy","(210) 247-2862","San Antonio","not_called"
407,"Urban Solar","Urban Solar","(210) 415-8440","San Antonio","not_called"
408,"Power Home Remodeling","Power Home Remodeling","(210) 585-3398","San Antonio","not_called"
409,"Energy Solutions Llc","Energy Solutions Llc","(210) 405-7796","San Antonio","not_called"
410,"Texas Energy Experts","Texas Energy Experts","(210) 982-0812","San Antonio","not_called"
411,"SolWel","SolWel","(210) 462-9950","San Antonio","not_called"
412,"roofio","roofio","(833) 674-7663","San Antonio","not_called"
413,"Central Texas Solar","Central Texas Solar","(210) 635-0007","San Antonio","not_called"
414,"Lux Energy","Lux Energy","(830) 308-7475","San Antonio","not_called"
415,"Orius Solar Care+","Orius Solar Care+","(210) 384-1014","San Antonio","not_called"
416,"Solar Service","Solar Service","(210) 343-2822","San Antonio","not_called"
417,"Elevate Electrical Solutions","Elevate Electrical Solutions","(210) 913-1115","San Antonio","not_called"
418,"Life Solar Panels","Life Solar Panels","(210) 608-2508","San Antonio","not_called"
419,"Solar Innovation Experts San Antonio","Solar Innovation Experts San Antonio","(726) 204-0230","San Antonio","not_called"
420,"Green Star EV and Solar Solutions","Green Star EV and Solar Solutions","(830) 438-3396","San Antonio","not_called"
421,"Greentech Renewables San Antonio","Greentech Renewables San Antonio","(210) 988-2045","San Antonio","not_called"
422,"Freedom Forever","Freedom Forever","(888) 557-6431","San Antonio","not_called"
423,"Aptos Solar Technology","Aptos Solar Technology","(949) 932-0733","San Antonio","not_called"
424,"Longhorn Solar - San Antonio","Longhorn Solar - San Antonio","(210) 566-8000","San Antonio","not_called"
425,"Soleil Energy Solutions LLC","Soleil Energy Solutions LLC","(726) 800-4301","San Antonio","not_called"
426,"Solar Edge Pros","Solar Edge Pros","(210) 401-9030","San Antonio","not_called"
427,"Alba Energy","Alba Energy","(210) 571-0311","San Antonio","not_called"
428,"Five Star Solar","Five Star Solar","(214) 551-4648","San Antonio","not_called"
429,"CAM Solar","CAM Solar","(210) 227-3456","San Antonio","not_called"
430,"South Texas Solar Systems","South Texas Solar Systems","(210) 829-5420","San Antonio","not_called"
431,"Sustainable Roofing & Solar","Sustainable Roofing & Solar","(210) 900-1999","San Antonio","not_called"
432,"Solar Electrics Texas","Solar Electrics Texas","(828) 515-1800","San Antonio","not_called"
433,"Greenstar Power LLC","Greenstar Power LLC","(512) 291-7571","San Antonio","not_called"
434,"Will Power Solar","Will Power Solar","(210) 446-9879","San Antonio","not_called"
435,"Solar Electric Texas","Solar Electric Texas","(210) 802-4222","San Antonio","not_called"
436,"Prodigy Solar","Prodigy Solar","(210) 905-4445","San Antonio","not_called"
437,"Stephens Solar Solutions","Stephens Solar Solutions","(210) 785-0994","San Antonio","not_called"
438,"Synergy Electric","Synergy Electric","(210) 704-7610","San Antonio","not_called"
439,"Standard","Standard","(726) 444-5163","San Antonio","not_called"
440,"OCI Solar Power Alamo 1 Solar Farm","OCI Solar Power Alamo 1 Solar Farm","(210) 453-3100","San Antonio","not_called"
441,"Olympus Electric & Solar LLC.","Olympus Electric & Solar LLC.","(210) 236-8314","San Antonio","not_called"
442,"Solur Power","Solur Power","(210) 791-0340","San Antonio","not_called"
443,"Lighthouse Solar","Lighthouse Solar","(210) 280-8509","San Antonio","not_called"
444,"ETW Energy LLC","Manuel Vallejo","(210) 201-4453","San Antonio","not_called"
445,"Texas Solar","Lois Lopez","(210) 802-4222","San Antonio","not_called"
446,"Miguel Rivera","Miguel Rivera","(813) 879-8045","San Antonio","not_called"
447,"Charles Kirk","Charles Kirk","	+44 116 277 3336","San Antonio","not_called"
448,"3rd Generation","Ryan Foltz","(210) 224-9588","San Antonio","not_called"
449,"Omosewe Guerra","Omosewe Guerra","(210) 775-2265","San Antonio","not_called"
450,"Solar Electric Texas L.L.C","Charles Gonzales","(210) 802-4222","San Antonio","not_called"
451,"Engel Electric","Stephen Engel","(210) 897-6527","San Antonio","not_called"
452,"Elias Solar, Inc.","Elias Gonzalez","(713) 239-9133","San Antonio","not_called"
453,"Olympic Electric & Solar, LLC","David Guerra","(210) 236-8314","San Antonio","not_called"
454,"Pure Energy","Ankitha Buduma","(833) 937-7873","San Antonio","not_called"
455,"Solar Alliance","Craig Dowdall","(865) 309-4674","San Antonio","not_called"
456,"Ramirez Innovations LLC","Ramirez Innovations LLC","(956) 626-1024","San Benito","not_called"
457,"Divided Sky Roofing & Solar","Divided Sky Roofing & Solar","(512) 995-7663","San Marcos","not_called"
458,"Epik Solar of San Marcos","Epik Solar of San Marcos","(737) 283-3365","San Marcos","not_called"
459,"GVEC Electric Cooperative","GVEC Electric Cooperative","(800) 223-4832","Schertz","not_called"
460,"GVEC Solar Services","GVEC Solar Services","(855) 898-8807","Schertz","not_called"
461,"Freedom Solar Power - San Antonio Solar Panel Company & Installers","Freedom Solar Power - San Antonio Solar Panel Company & Installers","(726) 210-0159","Schertz","not_called"
462,"GVEC Solar Services","GVEC Solar Services","(855) 898-8807","Seguin","not_called"
463,"Bahia Mar & Solare Tower","Bahia Mar & Solare Tower","(956) 433-5480","South Padre Island","not_called"
464,"Solar 360","Solar 360","(956) 230-6833","South Padre Island","not_called"
465,"ProLight Solar-PV Installer","ProLight Solar-PV Installer","(817) 431-5674","Southlake","not_called"
466,"Affordable Solar Roof & Air - Dallas","Affordable Solar Roof & Air - Dallas","(800) 515-1254","Southlake","not_called"
467,"Rankin Roofing & Solar LLC","Rankin Roofing & Solar LLC","(817) 554-2064","Southlake","not_called"
468,"Signature Solar","Trevor Wooden","(903) 441-2090","Sulphur Springs","not_called"
469,"Signature Solar","Austin Reyes","(903) 441-2090","Sulphur Springs","not_called"
470,"Signature Solar","Shawn Little","(903) 441-2090","Sulphur Springs","not_called"
471,"Signature Solar","Payton Pearsall","(903) 441-2090","Sulphur Springs","not_called"
472,"Phillip Lofxfer","Phillip Lofxfer","(903) 885-7571","Sulphur Springs","not_called"
473,"Signature Solar","Aaron Johnson","(903) 441-2090","Sulphur Springs","not_called"
474,"DG Renewables","Dayton Gifford","(956) 686-6040","Sulphur Springs","not_called"
475,"NRG Renewables","Koen Goggans","(833) 464-4674","Sulphur Springs","not_called"
476,"Signature Solar LLC","Brent Staggs","(903) 441-2090","Sulphur Springs","not_called"
477,"Derrick Reddell","Derrick Reddell","(903) 885-7571","Sulphur Springs","not_called"
478,"Joe Murillo","Joe Murillo","(903) 885-0787","Sulphur Springs","not_called"
479,"Freedom Solar Power","Skyler Merry","(512) 759-8313","Sulphur Springs","not_called"
480,"Signature Solar","Francisco Ledesma","(903) 441-2090","Sulphur Springs","not_called"
481,"Signature Solar","Mike Lamar","(903) 441-2090","Sulphur Springs","not_called"
482,"Integrity Solar USA","Integrity Solar USA","(940) 841-4103","Sunset","not_called"
483,"Solar Supply Inc","Solar Supply Inc","(254) 791-4822","Temple","not_called"
484,"Solar X","Solar X","(888) 394-1090","Temple","not_called"
485,"Solar Power Systems Temple","Solar Power Systems Temple","(254) 414-0625","Temple","not_called"
486,"Wright Way Solar Technologies","Rudy Wright","(903) 561-5191","Tyler","not_called"
487,"Argus Solar and Construction","Argus Solar and Construction","(210) 548-8071","Universal City","not_called"
488,"Blaze Energy","Blaze Energy","(254) 273-5004","Waco","not_called"
489,"Integrity Solar Inc.","Integrity Solar Inc.","(254) 307-1483","Waco","not_called"
490,"Pure Energy","Pure Energy","(833) 937-7873","Waco","not_called"
491,"Redemption Solar Power","Redemption Solar Power","(254) 355-3600","Waco","not_called"
492,"Solar Supply Inc","Solar Supply Inc","(254) 756-6527","Waco","not_called"
493,"Sweet Light Solar","Kit Reaven","(254) 457-9900","Waco","not_called"
494,"MINT Solar","MINT Solar","(469) 570-6468","Waxahachie","not_called"
495,"Texar Solar","Timothy Liina","(469) 581-0008","Waxahachie","not_called"
496,"Cabaña del sol","Cabaña del sol","(817) 443-4439","Weatherford","not_called"
497,"Solar Panel Installation Systems of Weatherford","Solar Panel Installation Systems of Weatherford","(817) 904-4394","Weatherford","not_called"
498,"Solar Panel Company","Solar Panel Company","(956) 357-9751","Weslaco","not_called"
499,"Pure Energy","Pure Energy","(956) 317-9380","Weslaco","not_called"
500,"Sunergy Services LLC","Sunergy Services LLC","(800) 844-0372","Weslaco","not_called"
501,"Alpha Valley Roofing","Alpha Valley Roofing","(956) 304-1403","Weslaco","not_called"
502,"South Texas Roofing","South Texas Roofing","(956) 309-1307","Weslaco","not_called"
503,"Evergreen Home Energy","Evergreen Home Energy","(956) 340-9697","Weslaco","not_called"
504,"American Made Solar and Wind Technologies","American Made Solar and Wind Technologies","(956) 832-3023","Weslaco","not_called"
505,"Sun of Texas Solar","Sun of Texas Solar","(254) 366-8372","West","not_called"
506,"Madere LLC","Steve Johnson","(940) 267-0063","Wichita","not_called"
507,"True Texas Solar & Roofing","True Texas Solar & Roofing","(936) 286-8325","Willis","not_called"
508,"Now Energy LLC","Shane Swan","(866) 227-1352","Wimberley","not_called"
509,"Green Solar Savings","Green Solar Savings","(254) 203-5045","Woodway","not_called"

